country,respondent_id,age,urban_rural,income_level,sex,marital_status,education,life_satisfaction,freedom_of_choice,emancipative_values,trust_people,importance_of_god,financial_satisfaction,secular_values
Turkey,792000022,47.0,Urban,Medium,Male,Single,Higher,8.0,7.0,0.470064,Not trusted,9.0,7.0,0.341036
Turkey,792000023,67.0,Urban,Low,Male,Married,Lower,1.0,3.0,0.510885,Not trusted,3.0,1.0,0.542805
Turkey,792000024,27.0,Rural,Medium,Male,Married,Middle,6.0,10.0,0.479012,Not trusted,9.0,5.0,0.450745
Turkey,792000025,26.0,Urban,Medium,Male,Divorced,Middle,8.0,5.0,0.275637,Not trusted,7.0,9.0,0.305381
Turkey,792000026,24.0,Rural,,Female,Single,Higher,9.0,5.0,0.322358,Trusted,8.0,8.0,0.350195
Turkey,792000027,25.0,Urban,Medium,Female,Single,Lower,5.0,5.0,0.164817,Not trusted,5.0,5.0,0.275350
Turkey,792000028,56.0,Rural,Low,Female,Single,Lower,6.0,4.0,0.434111,Not trusted,6.0,5.0,0.274014
Turkey,792000029,39.0,Urban,Medium,Female,Single,Higher,5.0,10.0,0.147854,Not trusted,10.0,6.0,0.064786
Turkey,792000030,35.0,Urban,Medium,Female,Single,Lower,8.0,8.0,0.242994,Not trusted,10.0,7.0,0.217303
Turkey,792000031,26.0,Rural,Medium,Male,Married,Middle,8.0,7.0,0.361474,Not trusted,7.0,7.0,0.233026
Turkey,792000032,35.0,Urban,Medium,Female,Married,Higher,8.0,10.0,0.354767,Trusted,10.0,8.0,0.197214
Turkey,792000033,38.0,Urban,Medium,Female,Single,Lower,10.0,7.0,0.165604,Trusted,10.0,8.0,0.158402
Turkey,792000034,37.0,Urban,Medium,Female,Married,Lower,5.0,8.0,0.345916,Not trusted,7.0,6.0,0.202336
Turkey,792000035,26.0,Urban,Medium,Male,Single,Middle,6.0,6.0,0.397481,Not trusted,4.0,5.0,0.333436
Turkey,792000036,45.0,Urban,High,Male,Married,Higher,7.0,7.0,0.234609,Not trusted,10.0,7.0,0.102364
Turkey,792000037,46.0,Urban,High,Female,Married,Middle,8.0,9.0,0.300318,Not trusted,10.0,7.0,0.119913
Turkey,792000038,37.0,Urban,Medium,Male,Single,Higher,8.0,10.0,0.232179,Trusted,10.0,10.0,0.059138
Turkey,792000039,26.0,Rural,Medium,Male,Single,Lower,5.0,5.0,0.336989,Not trusted,10.0,6.0,0.110903
Turkey,792000040,25.0,Urban,Medium,Male,Married,Lower,10.0,10.0,0.278572,Not trusted,10.0,7.0,0.235022
Turkey,792000041,21.0,Urban,Medium,Female,Single,Lower,7.0,6.0,0.431717,Not trusted,7.0,6.0,0.406169
Turkey,792000042,52.0,Rural,Low,Male,Married,Lower,8.0,8.0,0.214190,Not trusted,10.0,8.0,0.155932
Turkey,792000043,63.0,Rural,,Male,Divorced,Lower,9.0,9.0,0.531765,Not trusted,10.0,9.0,0.060958
Turkey,792000044,24.0,Rural,Low,Male,Single,Lower,7.0,10.0,0.338331,Not trusted,5.0,3.0,0.289505
Turkey,792000045,45.0,Urban,Medium,Male,Married,Lower,6.0,4.0,0.418500,Not trusted,5.0,5.0,0.218131
Turkey,792000046,36.0,Urban,Medium,Female,Married,Lower,8.0,7.0,0.242436,Not trusted,7.0,6.0,0.091255
Turkey,792000047,60.0,Urban,Medium,Male,Married,Lower,7.0,7.0,0.281986,Not trusted,10.0,5.0,0.100746
Turkey,792000048,35.0,Urban,Low,Female,Married,Lower,8.0,10.0,0.273033,Not trusted,10.0,10.0,0.323794
Turkey,792000049,36.0,Urban,Medium,Male,Widowed,Lower,6.0,5.0,0.152095,Not trusted,6.0,8.0,0.331175
Turkey,792000050,37.0,Urban,High,Female,Single,Middle,6.0,10.0,0.465774,Not trusted,9.0,5.0,0.120369
Turkey,792000051,55.0,Rural,High,Female,Single,Lower,8.0,7.0,0.259332,Not trusted,8.0,8.0,0.146158
Turkey,792000052,44.0,Urban,Medium,Female,Married,Lower,5.0,5.0,0.455888,Not trusted,5.0,6.0,0.524136
Turkey,792000053,21.0,Urban,Medium,Male,Married,Lower,8.0,6.0,0.142403,Not trusted,10.0,7.0,0.028501
Turkey,792000054,50.0,Urban,Low,Male,Married,Lower,3.0,4.0,0.359623,Not trusted,,5.0,0.213558
Turkey,792000055,55.0,Urban,Low,Male,Single,Lower,8.0,1.0,0.209815,Not trusted,8.0,7.0,0.138644
Turkey,792000056,38.0,Urban,Medium,Male,Single,Higher,7.0,8.0,0.333180,Not trusted,,7.0,0.186168
Turkey,792000057,44.0,Urban,High,Female,Married,Higher,7.0,10.0,0.322437,Not trusted,7.0,5.0,0.229502
Turkey,792000058,37.0,Urban,High,Female,Married,Higher,7.0,9.0,0.143783,Trusted,10.0,4.0,0.221853
Turkey,792000059,45.0,Rural,Medium,Male,Widowed,Middle,10.0,8.0,0.353657,Not trusted,7.0,9.0,0.134496
Turkey,792000060,38.0,Rural,Medium,Female,Married,Middle,7.0,9.0,0.270667,Not trusted,6.0,6.0,0.314282
Turkey,792000061,54.0,Urban,Medium,Male,Widowed,Middle,8.0,8.0,0.597534,Not trusted,5.0,4.0,0.645561
Turkey,792000062,50.0,Urban,Medium,Male,Married,Lower,4.0,10.0,0.383466,Not trusted,10.0,6.0,0.268968
Turkey,792000063,26.0,Urban,Medium,Female,Single,Higher,9.0,10.0,0.279849,Not trusted,10.0,8.0,0.329469
Turkey,792000064,21.0,Urban,High,Male,Single,Higher,7.0,5.0,0.160191,Trusted,10.0,5.0,0.043731
Turkey,792000065,34.0,Urban,High,Male,Married,Middle,5.0,6.0,0.340458,Not trusted,8.0,5.0,0.400356
Turkey,792000066,59.0,Urban,Medium,Female,Married,Lower,5.0,10.0,0.358414,Not trusted,10.0,6.0,0.235154
Turkey,792000067,30.0,Urban,Medium,Male,Single,Lower,5.0,5.0,0.390317,Not trusted,10.0,1.0,0.371728
Turkey,792000068,55.0,Urban,Low,Male,Married,Lower,5.0,1.0,0.231406,Not trusted,10.0,5.0,0.294401
Turkey,792000069,52.0,Rural,Low,Male,Married,Lower,7.0,4.0,0.426098,Not trusted,6.0,7.0,0.397446
Turkey,792000070,34.0,Urban,Medium,Male,Married,Lower,8.0,9.0,0.291233,Not trusted,7.0,8.0,0.223676
Turkey,792000071,30.0,Rural,Medium,Male,Single,Lower,5.0,3.0,0.468485,Not trusted,,1.0,0.519773
Turkey,792000072,42.0,Urban,Medium,Female,Married,Lower,7.0,7.0,0.505082,Not trusted,9.0,6.0,0.301922
Turkey,792000073,44.0,Urban,Low,Male,Married,Lower,7.0,,0.259939,Not trusted,9.0,4.0,0.115660
Turkey,792000074,42.0,Rural,Medium,Male,Married,Lower,3.0,7.0,0.449243,Not trusted,10.0,6.0,0.450683
Turkey,792000075,20.0,Urban,Low,Female,Married,Lower,6.0,8.0,0.251465,Not trusted,6.0,5.0,0.077212
Turkey,792000076,25.0,Urban,Low,Female,Married,Lower,8.0,5.0,0.739562,Not trusted,7.0,5.0,0.541855
Turkey,792000077,30.0,Urban,Medium,Male,Married,Higher,7.0,9.0,0.335215,Not trusted,10.0,5.0,0.398763
Turkey,792000078,51.0,Urban,Medium,Male,Married,Lower,8.0,8.0,0.159509,Not trusted,10.0,7.0,0.204994
Turkey,792000079,41.0,Urban,Low,Female,Married,Lower,7.0,8.0,0.485871,Not trusted,10.0,,0.084899
Turkey,792000080,45.0,Urban,Medium,Male,Single,Middle,4.0,4.0,0.561101,Not trusted,10.0,5.0,0.362163
Turkey,792000081,55.0,Urban,Medium,Female,Married,Lower,5.0,5.0,0.315979,Not trusted,7.0,7.0,0.165634
Turkey,792000082,35.0,Urban,Medium,Male,Married,Higher,7.0,9.0,0.186707,Not trusted,10.0,6.0,0.242266
Turkey,792000083,30.0,Urban,High,Male,Married,Higher,7.0,6.0,0.669154,Trusted,8.0,7.0,0.403242
Turkey,792000084,23.0,Urban,Medium,Female,Married,Lower,5.0,6.0,0.364543,Not trusted,,7.0,0.318829
Turkey,792000085,36.0,Urban,Medium,Female,Married,Lower,8.0,8.0,0.394989,Not trusted,10.0,5.0,0.103326
Turkey,792000086,28.0,Rural,Medium,Female,Married,Lower,8.0,10.0,0.247595,Not trusted,10.0,6.0,0.236956
Turkey,792000087,42.0,Rural,Low,Male,Married,Middle,9.0,6.0,0.270558,Not trusted,10.0,,0.463349
Turkey,792000088,35.0,Urban,Medium,Male,Married,Lower,5.0,6.0,0.627247,Not trusted,7.0,5.0,0.581346
Turkey,792000089,71.0,Urban,,Female,Married,Lower,8.0,8.0,0.572998,Not trusted,7.0,7.0,0.538804
Turkey,792000090,55.0,Urban,Medium,Male,Single,Higher,9.0,10.0,0.421223,Not trusted,10.0,9.0,0.148851
Turkey,792000091,45.0,Urban,Medium,Male,Married,Lower,8.0,8.0,0.337681,Not trusted,10.0,7.0,0.509871
Turkey,792000092,34.0,Urban,Medium,Female,Married,Middle,9.0,8.0,0.378066,Not trusted,10.0,7.0,0.232230
Turkey,792000093,55.0,Urban,Low,Female,Married,Lower,5.0,8.0,0.177446,Not trusted,10.0,7.0,0.110786
Turkey,792000094,30.0,Urban,High,Male,Married,Lower,3.0,7.0,0.320583,Not trusted,10.0,6.0,0.168510
Turkey,792000095,23.0,Urban,Medium,Female,Widowed,Higher,7.0,10.0,0.246699,Not trusted,8.0,7.0,0.223702
Turkey,792000096,35.0,Rural,Medium,Female,Single,Lower,9.0,8.0,0.504897,Not trusted,10.0,8.0,0.314343
Turkey,792000097,50.0,Urban,High,Female,Single,Middle,8.0,8.0,0.566197,Not trusted,10.0,7.0,0.067334
Turkey,792000098,40.0,Urban,Medium,Male,Married,Middle,5.0,5.0,0.139352,Not trusted,2.0,3.0,0.405583
Turkey,792000099,55.0,Urban,Medium,Male,Married,Lower,7.0,7.0,0.188076,Trusted,10.0,6.0,0.154388
Turkey,792000100,42.0,Urban,Low,Male,Married,Lower,4.0,,0.305006,Not trusted,10.0,2.0,0.305467
Turkey,792000101,56.0,Urban,Medium,Male,Married,Lower,6.0,8.0,0.403103,Trusted,10.0,7.0,0.182259
Turkey,792000102,55.0,Urban,Medium,Male,Married,Higher,5.0,10.0,0.424394,Not trusted,8.0,6.0,0.400584
Turkey,792000103,46.0,Urban,,Male,Single,Lower,10.0,10.0,0.359934,Not trusted,10.0,8.0,0.064800
Turkey,792000104,35.0,Urban,Low,Female,Married,Lower,7.0,6.0,0.583236,Not trusted,2.0,6.0,0.602909
Turkey,792000105,58.0,Urban,Medium,Male,Married,Middle,6.0,6.0,0.494056,Not trusted,4.0,8.0,0.609861
Turkey,792000106,28.0,Urban,,Male,Married,Middle,7.0,6.0,0.273963,Not trusted,10.0,7.0,0.117626
Turkey,792000107,54.0,Urban,Low,Female,Married,Lower,1.0,3.0,0.198918,Not trusted,10.0,1.0,0.201420
Turkey,792000108,36.0,Urban,Medium,Male,Single,Middle,5.0,8.0,0.324895,Not trusted,7.0,7.0,0.405463
Turkey,792000109,34.0,Rural,Medium,Male,Married,Lower,10.0,9.0,0.367633,Not trusted,10.0,7.0,0.180575
Turkey,792000110,36.0,Urban,Medium,Female,Married,Middle,7.0,8.0,0.349044,Not trusted,4.0,8.0,0.435624
Turkey,792000111,55.0,Urban,Low,Male,Married,Middle,5.0,8.0,0.200071,Not trusted,5.0,3.0,0.536164
Turkey,792000112,35.0,Rural,Medium,Male,Single,Middle,8.0,8.0,0.401327,Trusted,10.0,7.0,0.423908
Turkey,792000113,55.0,Urban,Medium,Female,Single,Middle,5.0,9.0,0.218822,Not trusted,9.0,6.0,0.260297
Turkey,792000114,45.0,Rural,Medium,Male,Single,Higher,8.0,7.0,0.481653,Trusted,6.0,8.0,0.478149
Turkey,792000115,35.0,Urban,High,Female,Married,Middle,8.0,7.0,0.359132,Not trusted,5.0,9.0,0.218015
Turkey,792000116,25.0,Urban,Low,Male,Married,Lower,3.0,8.0,0.485102,Not trusted,10.0,5.0,0.168261
Turkey,792000117,18.0,Urban,High,Female,Single,Middle,5.0,8.0,0.913448,Trusted,10.0,7.0,0.591094
Turkey,792000118,54.0,Urban,Medium,Male,Married,Lower,7.0,5.0,0.310475,Not trusted,8.0,4.0,0.126688
Turkey,792000119,41.0,Urban,High,Male,Married,Higher,5.0,4.0,0.569969,Not trusted,7.0,7.0,0.229244
Turkey,792000120,39.0,Rural,Low,Female,Single,Lower,7.0,3.0,0.362421,Not trusted,9.0,5.0,0.489574
Turkey,792000121,40.0,Urban,Medium,Female,Married,Lower,7.0,7.0,0.335398,Not trusted,6.0,4.0,0.550567
Turkey,792000122,24.0,Urban,Medium,Male,Married,Lower,8.0,7.0,0.497876,Not trusted,8.0,5.0,0.614900
Turkey,792000123,24.0,Urban,Medium,Male,Single,Higher,8.0,7.0,,Not trusted,9.0,8.0,0.588143
Turkey,792000124,30.0,Urban,Low,Male,Single,Lower,10.0,7.0,0.521322,Not trusted,6.0,8.0,0.576496
Turkey,792000125,34.0,Urban,Medium,Female,Single,Lower,5.0,5.0,0.205301,Not trusted,6.0,5.0,0.074457
Turkey,792000126,45.0,Urban,Medium,Female,Married,Lower,7.0,10.0,0.176776,Trusted,10.0,6.0,0.116389
Turkey,792000127,46.0,Urban,Medium,Female,Married,Middle,5.0,6.0,0.220641,Not trusted,7.0,4.0,0.405394
Turkey,792000128,55.0,Rural,Medium,Female,Married,Lower,6.0,9.0,0.357872,Trusted,10.0,7.0,0.190409
Turkey,792000129,40.0,Urban,Medium,Male,Single,Middle,8.0,6.0,0.187652,Not trusted,10.0,5.0,0.000000
Turkey,792000130,45.0,Urban,High,Male,Married,Higher,9.0,8.0,0.347541,Trusted,10.0,8.0,0.279119
Turkey,792000131,28.0,Urban,Medium,Male,Married,Middle,6.0,8.0,0.260018,Not trusted,10.0,8.0,0.261588
Turkey,792000132,37.0,Urban,Medium,Female,Married,Higher,8.0,8.0,0.204089,Not trusted,10.0,6.0,0.137186
Turkey,792000133,38.0,Urban,Medium,Male,Married,Lower,8.0,8.0,0.125781,Not trusted,10.0,5.0,0.195524
Turkey,792000134,56.0,Urban,Medium,Male,Widowed,Lower,9.0,8.0,0.270891,Not trusted,10.0,7.0,0.205228
Turkey,792000135,40.0,Urban,Medium,Male,Married,Middle,8.0,10.0,0.175215,Not trusted,10.0,5.0,0.072172
Turkey,792000136,24.0,Rural,Low,Female,Married,Lower,7.0,6.0,0.076015,Not trusted,10.0,2.0,0.104830
Turkey,792000137,37.0,Urban,Medium,Female,Single,Middle,5.0,8.0,0.349615,Not trusted,6.0,5.0,0.166105
Turkey,792000138,35.0,Urban,High,Female,Married,Lower,4.0,9.0,0.354492,Not trusted,10.0,5.0,0.497561
Turkey,792000139,50.0,Urban,,Male,Married,Higher,5.0,8.0,0.433498,Trusted,10.0,5.0,0.075588
Turkey,792000140,45.0,Urban,,Female,Married,Higher,7.0,6.0,0.401013,Not trusted,5.0,8.0,0.216190
Turkey,792000141,25.0,Urban,Medium,Male,Married,Higher,8.0,10.0,0.251262,Not trusted,10.0,6.0,0.093057
Turkey,792000142,55.0,Urban,Medium,Female,Single,Middle,10.0,7.0,0.440876,Not trusted,10.0,10.0,0.306532
Turkey,792000143,46.0,Rural,Medium,Female,Married,Lower,5.0,5.0,0.162855,Trusted,7.0,6.0,0.169344
Turkey,792000144,44.0,Rural,Medium,Male,Married,Higher,6.0,6.0,0.425507,Not trusted,10.0,7.0,0.332406
Turkey,792000145,50.0,Urban,Medium,Female,Single,Middle,5.0,7.0,0.294146,Not trusted,10.0,7.0,0.201510
Turkey,792000146,44.0,Urban,High,Male,Married,Middle,10.0,10.0,0.113467,Trusted,10.0,10.0,0.113662
Turkey,792000147,36.0,Urban,Low,Female,Married,Lower,4.0,5.0,0.434474,Not trusted,9.0,2.0,0.388647
Turkey,792000148,55.0,Urban,Medium,Female,Single,Lower,6.0,5.0,0.424928,Not trusted,9.0,4.0,0.191473
Turkey,792000149,52.0,Urban,Medium,Male,Divorced,Higher,6.0,7.0,0.502273,Not trusted,2.0,4.0,0.615409
Turkey,792000150,30.0,Urban,High,Female,Married,Middle,8.0,10.0,0.701093,Trusted,10.0,9.0,0.430883
Turkey,792000151,54.0,Rural,Medium,Male,Single,Lower,6.0,6.0,0.254896,Not trusted,10.0,5.0,0.401302
Turkey,792000152,24.0,Rural,Medium,Female,Married,Lower,3.0,5.0,0.361793,Trusted,10.0,2.0,0.531613
Turkey,792000153,55.0,Urban,Medium,Male,Married,Lower,5.0,5.0,0.527847,Trusted,10.0,4.0,0.103158
Turkey,792000154,40.0,Urban,Low,Female,Married,Lower,5.0,5.0,0.148605,Not trusted,7.0,2.0,0.001945
Turkey,792000155,37.0,Rural,High,Female,Married,Higher,7.0,6.0,0.466049,Not trusted,10.0,8.0,0.500265
Turkey,792000156,36.0,Urban,Medium,Female,Single,Lower,5.0,6.0,0.407780,Not trusted,6.0,7.0,0.285589
Turkey,792000157,37.0,Rural,Medium,Male,Married,Lower,8.0,8.0,0.265415,Not trusted,10.0,4.0,0.116230
Turkey,792000158,55.0,Urban,Low,Male,Single,Lower,3.0,6.0,0.361182,Not trusted,10.0,2.0,0.140131
Turkey,792000159,42.0,Urban,Medium,Female,Single,Lower,7.0,8.0,0.434835,Not trusted,8.0,6.0,0.355154
Turkey,792000160,24.0,Urban,Low,Female,Married,Lower,7.0,1.0,0.202334,Not trusted,10.0,4.0,0.045641
Turkey,792000161,35.0,Urban,High,Female,Married,Lower,6.0,6.0,0.262574,Not trusted,10.0,6.0,0.116915
Turkey,792000162,35.0,Urban,Low,Female,Married,Middle,6.0,6.0,0.909149,Not trusted,4.0,5.0,0.666902
Turkey,792000163,39.0,Rural,Low,Male,Living together as married,Lower,5.0,9.0,0.532959,Not trusted,10.0,5.0,0.432614
Turkey,792000164,46.0,Rural,Medium,Male,Single,Lower,8.0,7.0,0.261374,Not trusted,10.0,9.0,0.062261
Turkey,792000165,37.0,Urban,High,Male,Single,Middle,8.0,6.0,0.432279,Not trusted,10.0,8.0,0.598798
Turkey,792000166,47.0,Urban,Medium,Female,Married,Lower,6.0,7.0,0.331380,Not trusted,10.0,4.0,0.331885
Turkey,792000167,55.0,Urban,Medium,Female,Single,Lower,5.0,8.0,0.322403,Not trusted,7.0,7.0,0.387432
Turkey,792000168,35.0,Urban,Medium,Female,Widowed,Lower,5.0,9.0,0.328981,Not trusted,10.0,6.0,0.150385
Turkey,792000169,45.0,Urban,Medium,Male,Widowed,Lower,7.0,5.0,0.479104,Not trusted,8.0,7.0,0.280619
Turkey,792000170,47.0,Urban,Medium,Male,Married,Middle,4.0,6.0,0.696834,Not trusted,5.0,6.0,0.524199
Turkey,792000171,45.0,Urban,Medium,Male,Single,Middle,8.0,8.0,0.306885,Not trusted,10.0,7.0,0.042185
Turkey,792000172,55.0,Rural,Medium,Male,Single,Lower,8.0,,0.273278,Not trusted,10.0,7.0,0.139213
Turkey,792000173,46.0,Urban,Medium,Male,Married,Middle,8.0,5.0,0.490047,Not trusted,10.0,7.0,0.583304
Turkey,792000174,35.0,Urban,Medium,Female,Widowed,Lower,6.0,8.0,0.173290,Not trusted,6.0,7.0,0.457149
Turkey,792000175,36.0,Urban,Medium,Male,Married,Lower,8.0,6.0,0.334775,Not trusted,10.0,7.0,0.391760
Turkey,792000176,18.0,Urban,Medium,Male,Married,Middle,4.0,7.0,0.619648,Not trusted,10.0,7.0,0.583916
Turkey,792000177,57.0,Urban,Medium,Female,Married,Lower,4.0,5.0,0.252329,Trusted,10.0,5.0,0.339868
Turkey,792000178,38.0,Rural,High,Male,Single,Lower,8.0,6.0,0.173281,Not trusted,10.0,7.0,0.118614
Turkey,792000179,22.0,Urban,Medium,Female,Single,Lower,8.0,8.0,0.177103,Not trusted,7.0,7.0,0.399010
Turkey,792000180,20.0,Urban,Medium,Female,Married,Middle,8.0,8.0,0.230403,Not trusted,7.0,8.0,0.210758
Turkey,792000181,60.0,Urban,Medium,Female,Married,Lower,3.0,1.0,0.159329,Not trusted,10.0,1.0,0.282742
Turkey,792000182,31.0,Rural,,Female,Single,Higher,8.0,7.0,0.253396,Not trusted,7.0,7.0,0.074851
Turkey,792000183,36.0,Urban,Medium,Male,Married,Lower,5.0,7.0,0.433678,Not trusted,10.0,,0.247770
Turkey,792000184,51.0,Urban,Medium,Female,Single,Middle,7.0,6.0,0.396146,Not trusted,9.0,6.0,0.229446
Turkey,792000185,36.0,Urban,Low,Female,Married,Lower,6.0,6.0,0.208190,Not trusted,6.0,7.0,0.289454
Turkey,792000186,28.0,Urban,High,Female,Single,Lower,9.0,10.0,0.247922,Trusted,10.0,8.0,0.198605
Turkey,792000187,36.0,Urban,Medium,Female,Married,Higher,4.0,8.0,0.224200,Trusted,10.0,3.0,0.115126
Turkey,792000188,24.0,Urban,Medium,Male,Married,Lower,8.0,10.0,0.552764,Not trusted,8.0,4.0,0.199099
Turkey,792000189,55.0,Urban,High,Male,Married,Lower,6.0,7.0,0.389657,Not trusted,10.0,6.0,0.247644
Turkey,792000190,46.0,Urban,Medium,Male,Married,Lower,6.0,7.0,0.273472,Not trusted,10.0,6.0,0.121387
Turkey,792000191,50.0,Rural,Medium,Female,Married,Middle,7.0,7.0,0.408662,Not trusted,5.0,5.0,0.366952
Turkey,792000192,58.0,Urban,High,Female,Married,Higher,8.0,5.0,0.269628,Not trusted,9.0,7.0,0.186878
Turkey,792000193,20.0,Urban,Medium,Female,Married,Lower,8.0,10.0,0.244787,Not trusted,9.0,8.0,0.483550
Turkey,792000194,24.0,Urban,Medium,Male,Married,Lower,7.0,10.0,0.180216,Not trusted,10.0,8.0,0.132255
Turkey,792000195,44.0,Urban,Medium,Female,Married,Lower,6.0,8.0,0.310558,Not trusted,9.0,7.0,0.204563
Turkey,792000196,20.0,Urban,High,Female,Married,,6.0,6.0,0.598495,Not trusted,10.0,7.0,0.227019
Turkey,792000197,36.0,Rural,,Female,Married,Middle,8.0,8.0,0.329939,Not trusted,9.0,7.0,0.421331
Turkey,792000198,47.0,Urban,,Female,Single,Lower,5.0,6.0,,Not trusted,10.0,2.0,0.232595
Turkey,792000199,25.0,Urban,Low,Male,Married,Lower,7.0,9.0,0.388165,Not trusted,10.0,5.0,0.282910
Turkey,792000200,55.0,Rural,Medium,Female,Single,Higher,8.0,8.0,0.515971,Not trusted,7.0,7.0,0.211473
Turkey,792000201,28.0,Urban,Medium,Female,Married,Lower,6.0,2.0,0.366124,Not trusted,5.0,7.0,0.483132
Turkey,792000202,21.0,Urban,Medium,Female,Married,Lower,5.0,8.0,0.323994,Not trusted,2.0,7.0,0.194218
Turkey,792000203,38.0,Urban,Medium,Male,Married,Higher,4.0,1.0,0.435311,Trusted,10.0,5.0,0.215478
Turkey,792000204,55.0,Urban,Medium,Female,Married,Lower,7.0,9.0,0.861949,Not trusted,6.0,6.0,0.205678
Turkey,792000205,27.0,Urban,Medium,Female,Single,Lower,7.0,5.0,0.508614,Not trusted,7.0,5.0,0.362273
Turkey,792000206,55.0,Urban,Medium,Female,Single,Lower,5.0,3.0,0.242366,Not trusted,10.0,5.0,0.222354
Turkey,792000207,55.0,Urban,Medium,Female,Married,Lower,6.0,7.0,0.265937,Not trusted,8.0,8.0,0.359626
Turkey,792000208,55.0,Rural,Medium,Female,Married,Middle,7.0,6.0,0.301455,Trusted,10.0,6.0,0.138845
Turkey,792000209,37.0,Urban,Medium,Male,Single,Lower,2.0,4.0,0.211464,Not trusted,8.0,3.0,0.463156
Turkey,792000210,45.0,Urban,Medium,Female,Single,Middle,5.0,8.0,0.368307,Not trusted,6.0,3.0,0.442333
Turkey,792000211,45.0,Urban,Medium,Female,Married,Lower,8.0,5.0,0.523700,Not trusted,9.0,6.0,0.398932
Turkey,792000212,30.0,Urban,Medium,Female,Single,Lower,5.0,7.0,0.290838,Not trusted,6.0,1.0,0.224052
Turkey,792000213,68.0,Rural,Medium,Female,Married,Lower,6.0,7.0,0.419572,Not trusted,10.0,7.0,0.371456
Turkey,792000214,45.0,Urban,Medium,Female,Married,Middle,8.0,7.0,0.261062,Not trusted,10.0,4.0,0.030074
Turkey,792000215,40.0,Urban,Medium,Female,Married,Lower,7.0,7.0,0.574544,Not trusted,5.0,7.0,0.154738
Turkey,792000216,35.0,Urban,High,Female,Married,Middle,8.0,5.0,0.276386,Not trusted,9.0,8.0,0.322931
Turkey,792000217,24.0,Urban,Medium,Male,Married,Middle,9.0,10.0,0.216441,Not trusted,7.0,7.0,0.265328
Turkey,792000218,55.0,Rural,Medium,Female,Single,Lower,7.0,5.0,0.674365,Not trusted,7.0,8.0,0.422451
Turkey,792000219,35.0,Urban,Medium,Male,Married,Lower,9.0,3.0,0.524634,Not trusted,6.0,6.0,0.471737
Turkey,792000220,21.0,Urban,Medium,Male,Married,Higher,5.0,7.0,,Not trusted,9.0,4.0,0.328188
Turkey,792000221,58.0,Urban,Medium,Female,Single,Lower,4.0,3.0,0.431664,Trusted,9.0,4.0,0.306942
Turkey,792000222,24.0,Urban,Medium,Female,Widowed,Higher,6.0,6.0,0.433417,Not trusted,8.0,9.0,0.260530
